URL,Description
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8273,"GE4 – Global Education: Exchanges for Engineers and Entrepreneurs Network Student Exchange Program Semester 2, AY 2015-2016"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8296,"Simon Fraser University, Canada – Semester 2/ Spring, AY 2015-2016"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8332,"Osaka University, Japan: Semester 2, AY 2015-2016"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8336,"United Board Scholarships at International Christian University (ICU) Graduate School, tokyo Japan: Academic Year 2016-2017"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8337,"2016 Winter Seminar on Human Security Development and Energy Science, Kyoto University, Japan"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8338,"Swiss Government Excellence Scholarships for AY 2016-2017, PhD Programs"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8339,"University of Malaya, Malaysia: Semester 2, AY 2015-2016"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8350,2016 Fellowship Programme on Nano-Satellite Technologies – through the United Nations Office for Outer Space Affairs (UNOOSA) and the Government of Japan
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8372,2016 Student Exchange Program to Japan Partner Universities
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8386,UKEAS Philippines’ October 2015 Education Expo
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8457,"2016 Spring Semester Universite Catholique de Lille, France"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8474,"2016 Spring Semester Ecole Supérieure des Sciences Commerciales d’Angers/ESSCA, France"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8477,2016 Global Korea Scholarships: Korean Government Scholarship Program for an Undergraduate Degree
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8485,"7th Higher Education Summit Asia at Grand Copthorne Waterfront, Singapore"
http://intranet.dlsu.edu.ph/archives/helpdesk/content.asp?id=8489,2016 Spring Semester Scholarships at Korea Development Institute (KDI) School of Public Policy and Management
http://intranet.dlsu.edu.ph/directory/offices/evp_manila/accounting/default.asp,Duties and Responsibilities
http://intranet.dlsu.edu.ph/directory/phone/local.asp,DLSU-Manila Local Phone Directory
http://intranet.dlsu.edu.ph/downloads/forms/default.asp,Download Forms (Intranet Access Only)
http://intranet.dlsu.edu.ph/downloads/po/faq-procurement-for-inks-toners-drums.asp,"FAQs on Inks, Toners and Drums"
http://intranet.dlsu.edu.ph/downloads/po/faqs-procurement.asp,FAQs on Procurement
http://intranet.dlsu.edu.ph/downloads/po/faqs-vendors-suppliers.asp,FAQs on vendors/Suppliers
http://intranet.dlsu.edu.ph/downloads/po/procurement-inks-toners-drums.asp,"Requesting for Purchasing and Receiving orders for Brother, Delsan and HP"
http://intranet.dlsu.edu.ph/downloads/po/procurement-process-for-brother-delsan-hp.asp,"Procurement Process for Brother, Delsan and HP"
http://intranet.dlsu.edu.ph/downloads/po/supplier-accreditation-process.asp,Supplier Accreditation Process
http://intranet.dlsu.edu.ph/downloads/po/supplier-accreditation-requirements.asp,Supplier Accreditation Requirements
http://intranet.dlsu.edu.ph/downloads/syllabus/default.asp,Course Syllabus (Intranet)
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/apply_tin.asp,Applying for TIN for New Employees
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/avail_maternity.asp,Availing Maternity Benefit/Leave in DLSU
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/bir_update.asp,Updating BIR Records
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/bookstore_requisition.asp,Policies and Procedures on Bookstore Requisition
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/canteen_orders.asp,Policies and Procedures on Canteen Orders
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/cash_advances.asp,Policies and Procedures on Cash Advances
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/cashier_policies.asp,Cashiers Policies Regarding Cashiering Services and Payments
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/ced_acctg.asp,"Accounting procedures on seminars, workshops and summer programs"
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/ced_payment.asp,"Payment procedures on seminars, workshops and summer programs"
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/checks_parttime.asp,Distribution of pay checks of part-timers
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/courtesy_hour.asp,Courtesy Hour
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/disb_booktrans.asp,Disbursement thru Book Transfers
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/disb_paycheck.asp,Disbursement thru Pay Check
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/donations.asp,Donations (Policies and Procedures)
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/epurse_agreement.asp,E-Purse Agreement and Procedures
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/equipment.asp,"Guidelines in Disposition, Transfer and Borrowing of Equipment"
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/liq_cashadv.asp,Guidelines on Liquidation of Cash Advances
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/new_employees.asp,Orientation for New Employees
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/payment_authorized.asp,Authorized personnel to receive payments
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/payment_overload.asp,Payment of overload pay thru ATM accounts
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/payment_prs.asp,Payments covered by PRS
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/payment_referral.asp,Referral Slip for Payments Made to the Cashier
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/payroll_procedures.asp,Payroll procedures
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/petty_cash.asp,Petty Cash payments for expenses PhP 100.00 and below
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/petty_cashpsi.asp,Petty Cash Fund/Revolving Fund Policies and Guidelines
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/philhealth_sked.asp,New Philhealth Premium Contribution Schedule
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/process_cashadv.asp,Processing of Cash Advance and Liquidation
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/property_accountability.asp,Property Accountability Forms
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/signature_req.asp,Signature Requirements for DLSU-Manila
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/sss_salaryloan.asp,Revised Set of Guidelines on the Grant of SSS Salary Loans
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/tax_fringe.asp,Taxability of Fringe Benefits
http://intranet.dlsu.edu.ph/policies/evp_manila/accounting/turnover_pettycash.asp,Petty Cash Fund Safekeeping and Turn-over Procedures
http://intranet.dlsu.edu.ph/policies/gen_info/benefits/ceap/default.asp,CEAP Retirement Benefits
http://intranet.dlsu.edu.ph/policies/gen_info/benefits/pag-ibig/default.asp,PAG-IBIG (Policies and Procedures)
http://intranet.dlsu.edu.ph/policies/gen_info/benefits/sss/default.asp,SSS Guidebook
http://ivle.dlsu.edu.ph,Integrated Virtual Learning Environment (IVLE)
http://lib1000.dlsu.edu.ph/search~S19,Book Reservation
http://libanswers.dlsu.edu.ph,Searchable FAQs
http://libanswers.dlsu.edu.ph/a.php?qid=777339,online using your
http://libanswers.dlsu.edu.ph/faq/157518%E2%80%8B,How to check-out a
http://libanswers.dlsu.edu.ph/faq/157519,How to borrow a
http://libanswers.dlsu.edu.ph/faq/157520,How
http://libanswers.dlsu.edu.ph/faq/23442,How to browse the A-Z List of e-Journals
http://libanswers.dlsu.edu.ph/faq/2931,online using your
http://libanswers.dlsu.edu.ph/faq/3414,How to reserve books online?
http://libanswers.dlsu.edu.ph/faq/3428,How to access electronic databases off campus
http://libanswers.dlsu.edu.ph/faq/76700,How
http://libanswers.dlsu.edu.ph/form.php?queue_id=0,ONLINE FORM
http://libcal.dlsu.edu.ph,Reserve a Discussion Room
http://libcal.dlsu.edu.ph/appointments,Make an appointment with RIA
http://libcal.dlsu.edu.ph/r/new,R New
http://libguides.dlsu.edu.ph/IamInfoSMART,IamInfoSmart
http://libguides.dlsu.edu.ph/main/guides,Subject Guides
http://libguides.dlsu.edu.ph/main/webliography,Webliography
http://mail.dlsu.edu.ph,http://mail.dlsu.edu.ph
http://myportal.dlsu.edu.ph,http://myportal.dlsu.edu.ph/
http://papercut.dlsu.edu.ph:9191,Web Printing
http://st.dlsu.edu.ph,http://st.dlsu.edu.ph/
http://st.dlsu.edu.ph/NNLPRS,http://st.dlsu.edu.ph/NNLPRS
http://team.zobel.dlsu.edu.ph/sites/LRC/default.aspx,DLS –
http://themuseum.dlsu.edu.ph,The Museum
http://wise.dlsu.edu.ph/wi-fi/wifi_dlsu.asp,wireless fidelity (wi-fi) network
http://wise.dlsu.edu.ph/wifi/dlsu,Wi-Fi Set Up
http://www.dlsu.edu.ph/academics,Undergraduate Programs
http://www.dlsu.edu.ph/academics/academic_international_programs/default.asp,International ShortCourses
http://www.dlsu.edu.ph/academics/colleges.asp,"Colleges, School & Departments"
http://www.dlsu.edu.ph/affiliates/default.asp,Affiliates
http://www.dlsu.edu.ph/calendar,Calendar
http://www.dlsu.edu.ph/faculty/visiting_professors/default.asp,Visiting Professors
http://www.dlsu.edu.ph/give/main.asp,Make a Gift
http://www.dlsu.edu.ph/help/utilities/search,Site Search
http://www.dlsu.edu.ph/i-viewbook/index.php,I Viewbook Index.php
http://www.dlsu.edu.ph/i-viewbook/post-k12-curriculum.php,DLSU RevEd
http://www.dlsu.edu.ph/inside/accreditation-assessment.asp,Accreditation and Assessment
http://www.dlsu.edu.ph/jobs/employment.asp,Employment
http://www.dlsu.edu.ph/legalities,Copyright©2012-2024. All Rights Reserved. De La Salle University
http://www.dlsu.edu.ph/legalities/copyright.asp,Copyright © DLSU-Manila
http://www.dlsu.edu.ph/library/services,Services
